documento 	termino1	termino2	termino3	termino4	termino5	termino6	termino7	termino8	termino9	termino10
documento1	1	4	0	3	0	2	8	7	0	4
documento2	4	4	0	6	0	0	4	5	4	3
documento3	6	3	1	4	0	0	8	8	4	4
documento4	2	1	0	6	1	0	4	3	0	2
documento5	5	1	1	6	0	1	0	1	0	1
documento6	3	1	1	6	0	0	3	2	4	2
documento7	2	3	0	3	0	0	1	6	1	1
documento8	1	3	1	3	1	0	0	0	5	2
documento9	4	1	0	3	0	1	8	4	6	4
documento10	6	4	0	6	0	0	7	3	0	2
documento11	2	3	1	3	2	2	2	5	5	1
documento12	6	4	1	5	0	2	8	4	2	1
documento13	5	4	1	5	2	1	6	1	3	4
documento14	0	4	1	4	0	2	0	6	4	2
documento15	5	1	0	3	2	1	1	2	0	4
documento16	6	1	1	4	1	0	7	0	0	3
documento17	4	1	0	6	2	2	2	3	3	1
documento18	4	3	1	4	0	1	1	3	5	3
documento19	3	4	1	5	2	0	2	0	3	4
documento20	3	4	1	3	2	0	4	2	4	3
documento21	3	1	0	5	2	0	3	8	0	3
documento22	4	4	1	4	0	1	8	5	5	4
documento23	0	3	1	3	2	0	1	4	5	1
documento24	4	2	0	3	1	0	1	3	4	1
documento25	5	1	0	3	0	2	0	1	4	1
documento26	5	1	0	5	4	4	1	8	5	4
documento27	3	4	1	3	4	3	2	1	1	2
documento28	0	4	0	3	5	4	6	5	6	4
documento29	0	4	1	5	5	5	1	6	2	3
documento30	2	3	1	4	4	5	4	3	6	2
documento31	1	1	1	4	4	4	3	8	0	3
documento32	6	3	0	6	4	3	1	4	0	4
documento33	4	2	1	3	4	4	0	0	1	2
documento34	4	1	1	6	4	5	7	8	5	3
documento35	3	2	1	3	3	4	5	0	0	4
documento36	2	2	0	4	4	5	1	5	1	2
documento37	2	4	1	4	4	3	2	3	1	1
documento38	6	3	1	4	5	3	4	5	4	4
documento39	2	2	1	5	5	3	7	5	0	2
documento40	0	4	0	4	4	3	6	4	0	4
documento41	1	1	0	4	4	4	0	6	3	2
documento42	3	4	1	4	5	5	0	2	4	2
documento43	1	4	0	6	3	4	8	5	5	1
documento44	2	2	1	4	4	4	4	7	2	2
documento45	2	1	1	4	5	3	3	0	3	3
documento46	3	2	1	5	5	4	7	2	3	1
documento47	1	1	1	3	3	5	0	0	4	4
documento48	6	2	0	3	3	5	5	7	1	4
documento49	3	4	0	5	5	4	8	5	2	3
documento50	9	3	0	4	3	3	5	4	9	1
documento51	7	5	4	0	5	4	8	8	9	7
documento52	8	7	4	1	3	4	4	3	9	5
documento53	7	7	6	0	5	5	2	3	7	5
documento54	7	6	3	1	3	5	0	7	8	7
documento55	8	7	6	1	3	3	7	6	7	6
documento56	9	6	4	1	3	3	8	2	9	5
documento57	9	7	4	1	4	3	1	2	9	5
documento58	9	6	3	1	5	4	0	7	9	6
documento59	7	5	4	0	5	4	4	8	8	5
documento60	9	6	6	1	4	3	2	0	7	7
documento61	8	6	3	1	5	5	5	2	8	5
documento62	7	5	6	0	5	3	4	7	7	6
documento63	8	5	5	1	5	3	4	2	9	5
documento64	7	6	5	0	5	3	4	0	9	5
documento65	8	6	3	1	5	4	0	5	8	6
documento66	7	5	6	0	5	3	7	0	7	6
documento67	9	5	5	1	4	3	3	6	9	5
documento68	7	6	5	0	4	3	5	4	7	7
documento69	7	5	5	0	5	3	4	3	8	6
documento70	9	6	4	1	5	3	4	5	7	7
documento71	9	6	4	0	4	4	7	0	9	5
documento72	9	6	6	0	3	4	5	7	7	6
documento73	7	6	6	1	3	5	7	2	9	5
documento74	7	6	6	0	3	3	1	6	8	7
documento75	8	6	6	0	4	5	8	3	8	6
documento76	7	7	5	0	5	4	1	8	7	7
documento77	8	5	4	1	4	4	2	8	7	7
documento78	9	5	4	1	3	4	2	7	8	7
documento79	9	7	3	1	3	5	0	2	9	5
documento80	8	5	5	0	4	4	6	6	9	7
documento81	9	7	6	0	4	4	1	3	8	7
documento82	9	6	6	1	3	5	1	4	9	7
documento83	7	7	3	0	3	5	1	0	8	5
documento84	8	7	5	1	3	5	3	4	7	7
documento85	8	6	3	1	3	3	8	1	9	5
documento86	9	6	3	1	3	5	0	6	9	7
documento87	7	7	5	1	4	5	1	2	8	6
documento88	7	5	4	0	5	3	2	1	9	5
documento89	9	6	4	0	5	4	5	1	8	6
documento90	8	6	6	0	3	4	8	4	8	7
documento91	7	7	5	0	4	3	7	1	9	5
documento92	8	5	5	0	3	5	8	1	8	7
documento93	7	7	5	1	4	4	7	6	9	6
documento94	8	5	4	0	3	4	3	8	9	7
documento95	8	7	5	0	5	4	4	4	9	6
documento96	8	6	6	1	4	5	5	1	8	7
documento97	7	6	3	1	5	5	1	3	9	5
documento98	7	6	6	0	5	4	7	3	8	6
documento99	9	5	5	1	3	3	4	2	8	5
documento100	9	6	4	0	3	5	3	5	8	6
documento101	1	2	3	4	2	3	1	3	2	2
documento102	2	2	3	4	1	1	3	2	2	3
documento103	3	2	3	4	2	3	2	2	1	1
documento104	2	1	3	4	2	3	1	2	2	3
documento105	1	3	3	4	2	1	1	1	3	1
documento106	2	2	3	4	1	3	1	1	3	2
documento107	2	3	3	4	2	2	1	2	2	2
documento108	3	2	3	4	3	1	2	1	2	3
documento109	1	3	3	4	1	1	1	3	3	1
documento110	3	3	3	4	3	2	2	2	1	2
documento111	1	3	3	4	1	1	1	2	3	1
documento112	2	1	3	4	2	3	2	3	3	1
documento113	2	3	3	4	1	3	1	1	2	2
documento114	3	2	3	4	1	2	3	2	1	1
documento115	2	2	3	4	1	3	1	1	2	1
documento116	2	3	3	4	2	1	2	1	2	3
documento117	2	3	3	4	3	1	3	2	3	2
documento118	2	3	3	4	1	2	1	3	3	2
documento119	1	3	3	4	2	2	3	2	1	3
documento120	2	1	3	4	3	3	2	3	2	3
documento121	3	1	3	4	3	3	1	3	3	2
documento122	1	2	3	4	1	1	1	3	2	1
documento123	1	2	3	4	2	3	1	1	3	3
documento124	2	1	3	4	2	2	3	2	3	2
documento125	2	1	3	4	3	3	3	1	2	3
documento126	3	1	3	4	2	1	2	2	3	2
documento127	9	7	7	8	7	8	8	9	8	9
documento128	6	4	4	4	5	6	7	4	5	5
documento129	5	5	5	6	6	6	7	5	5	6
documento130	6	6	6	6	6	6	7	4	5	6
documento131	4	4	6	4	5	6	7	4	5	4
documento132	4	5	5	4	6	6	7	4	6	4
documento133	4	4	4	6	6	6	7	4	6	4
documento134	6	6	4	5	6	6	7	6	6	6
documento135	6	5	6	6	6	6	7	6	5	6
documento136	4	4	5	5	4	6	7	5	6	6
documento137	6	4	4	6	5	6	7	5	5	5
documento138	6	4	5	5	5	6	7	4	4	5
documento139	4	6	5	4	5	6	7	5	6	4
documento140	5	6	5	4	4	6	7	6	5	6
documento141	4	4	4	5	5	6	7	4	4	6
documento142	4	4	4	6	4	6	7	5	6	4
documento143	4	4	4	5	4	6	7	4	4	5
documento144	4	4	5	6	6	6	7	6	6	5
documento145	6	5	5	5	4	6	7	4	5	4
