documento 	termino1	termino2	termino3	termino4	termino5	termino6	termino7	termino8	termino9	termino10	clase
documento1	1	4	0	3	0	2	8	7	0	4	A
documento2	4	4	0	6	0	0	4	5	4	3	A
documento3	6	3	1	4	0	0	8	8	4	4	A
documento4	2	1	0	6	1	0	4	3	0	2	A
documento5	5	1	1	6	0	1	0	1	0	1	A
documento6	3	1	1	6	0	0	3	2	4	2	A
documento7	2	3	0	3	0	0	1	6	1	1	A
documento8	1	3	1	3	1	0	0	0	5	2	A
documento9	4	1	0	3	0	1	8	4	6	4	A
documento10	6	4	0	6	0	0	7	3	0	2	A
documento11	2	3	1	3	2	2	2	5	5	1	A
documento12	6	4	1	5	0	2	8	4	2	1	A
documento13	5	4	1	5	2	1	6	1	3	4	A
documento14	0	4	1	4	0	2	0	6	4	2	A
documento15	5	1	0	3	2	1	1	2	0	4	A
documento16	6	1	1	4	1	0	7	0	0	3	A
documento17	4	1	0	6	2	2	2	3	3	1	A
documento18	4	3	1	4	0	1	1	3	5	3	A
documento19	3	4	1	5	2	0	2	0	3	4	A
documento20	3	4	1	3	2	0	4	2	4	3	A
documento21	3	1	0	5	2	0	3	8	0	3	A
documento22	4	4	1	4	0	1	8	5	5	4	A
documento23	0	3	1	3	2	0	1	4	5	1	A
documento24	4	2	0	3	1	0	1	3	4	1	A
documento25	5	1	0	3	0	2	0	1	4	1	A
documento26	5	1	0	5	4	4	1	8	5	4	A
documento27	3	4	1	3	4	3	2	1	1	2	A
documento28	0	4	0	3	5	4	6	5	6	4	A
documento29	0	4	1	5	5	5	1	6	2	3	A
documento30	2	3	1	4	4	5	4	3	6	2	A
documento31	1	1	1	4	4	4	3	8	0	3	A
documento32	6	3	0	6	4	3	1	4	0	4	A
documento33	4	2	1	3	4	4	0	0	1	2	A
documento34	4	1	1	6	4	5	7	8	5	3	A
documento35	3	2	1	3	3	4	5	0	0	4	A
documento36	2	2	0	4	4	5	1	5	1	2	A
documento37	2	4	1	4	4	3	2	3	1	1	A
documento38	6	3	1	4	5	3	4	5	4	4	A
documento39	2	2	1	5	5	3	7	5	0	2	A
documento40	0	4	0	4	4	3	6	4	0	4	A
documento41	1	1	0	4	4	4	0	6	3	2	A
documento42	3	4	1	4	5	5	0	2	4	2	A
documento43	1	4	0	6	3	4	8	5	5	1	A
documento44	2	2	1	4	4	4	4	7	2	2	A
documento45	2	1	1	4	5	3	3	0	3	3	A
documento46	3	2	1	5	5	4	7	2	3	1	A
documento47	1	1	1	3	3	5	0	0	4	4	A
documento48	6	2	0	3	3	5	5	7	1	4	A
documento49	3	4	0	5	5	4	8	5	2	3	A
documento50	9	3	0	4	3	3	5	4	9	1	A
documento51	7	5	4	0	5	4	8	8	9	7	A
documento52	8	7	4	1	3	4	4	3	9	5	A
documento53	7	7	6	0	5	5	2	3	7	5	A
documento54	7	6	3	1	3	5	0	7	8	7	A
documento55	8	7	6	1	3	3	7	6	7	6	A
documento56	9	6	4	1	3	3	8	2	9	5	A
documento57	9	7	4	1	4	3	1	2	9	5	A
documento58	9	6	3	1	5	4	0	7	9	6	A
documento59	7	5	4	0	5	4	4	8	8	5	A
documento60	9	6	6	1	4	3	2	0	7	7	A
documento61	8	6	3	1	5	5	5	2	8	5	C
documento62	7	5	6	0	5	3	4	7	7	6	B
documento63	8	5	5	1	5	3	4	2	9	5	B
documento64	7	6	5	0	5	3	4	0	9	5	B
documento65	8	6	3	1	5	4	0	5	8	6	B
documento66	7	5	6	0	5	3	7	0	7	6	B
documento67	9	5	5	1	4	3	3	6	9	5	B
documento68	7	6	5	0	4	3	5	4	7	7	B
documento69	7	5	5	0	5	3	4	3	8	6	B
documento70	9	6	4	1	5	3	4	5	7	7	B
documento71	9	6	4	0	4	4	7	0	9	5	B
documento72	9	6	6	0	3	4	5	7	7	6	B
documento73	7	6	6	1	3	5	7	2	9	5	B
documento74	7	6	6	0	3	3	1	6	8	7	B
documento75	8	6	6	0	4	5	8	3	8	6	B
documento76	7	7	5	0	5	4	1	8	7	7	B
documento77	8	5	4	1	4	4	2	8	7	7	B
documento78	9	5	4	1	3	4	2	7	8	7	B
documento79	9	7	3	1	3	5	0	2	9	5	B
documento80	8	5	5	0	4	4	6	6	9	7	B
documento81	9	7	6	0	4	4	1	3	8	7	B
documento82	9	6	6	1	3	5	1	4	9	7	B
documento83	7	7	3	0	3	5	1	0	8	5	B
documento84	8	7	5	1	3	5	3	4	7	7	B
documento85	8	6	3	1	3	3	8	1	9	5	B
documento86	9	6	3	1	3	5	0	6	9	7	B
documento87	7	7	5	1	4	5	1	2	8	6	B
documento88	7	5	4	0	5	3	2	1	9	5	B
documento89	9	6	4	0	5	4	5	1	8	6	B
documento90	8	6	6	0	3	4	8	4	8	7	B
documento91	7	7	5	0	4	3	7	1	9	5	B
documento92	8	5	5	0	3	5	8	1	8	7	B
documento93	7	7	5	1	4	4	7	6	9	6	B
documento94	8	5	4	0	3	4	3	8	9	7	B
documento95	8	7	5	0	5	4	4	4	9	6	B
documento96	8	6	6	1	4	5	5	1	8	7	B
documento97	7	6	3	1	5	5	1	3	9	5	B
documento98	7	6	6	0	5	4	7	3	8	6	B
documento99	9	5	5	1	3	3	4	2	8	5	B
documento100	9	6	4	0	3	5	3	5	8	6	B
documento101	1	2	3	4	2	3	1	3	2	2	B
documento102	2	2	3	4	1	1	3	2	2	3	B
documento103	3	2	3	4	2	3	2	2	1	1	B
documento104	2	1	3	4	2	3	1	2	2	3	B
documento105	1	3	3	4	2	1	1	1	3	1	B
documento106	2	2	3	4	1	3	1	1	3	2	B
documento107	2	3	3	4	2	2	1	2	2	2	B
documento108	3	2	3	4	3	1	2	1	2	3	B
documento109	1	3	3	4	1	1	1	3	3	1	B
documento110	3	3	3	4	3	2	2	2	1	2	B
